raw_file_name	bis_processed_file	code	sample_id	label	band	year	min_age	cap_doy	age_group	age_note	treatment	group	lib_prep_batch	seq_run	pool	meth_seqs	meth_conv	unmeth_seqs	unmeth_conv	notes			mass	bhead	fwing	b_cort	s_cort	d_cort			
11922_11163_124347_H7HJ7BGXG_Taff_C_2_262125888_1pre_B31_CACGAT_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_262125888_1pre_B31_CACGAT_R1_trimmed_bismark_bt2.bismark.cov.gz	262125888_1pre	T_087	24	262125888	2015	1	173	SY	SY in 2015	cort	1pre	2	4	C_2	110	1.68	224	99.87			262125888_2015_173	20	27.8	112.5	0.53	28.19				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_262125916_1pre_C33_CAGGCG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_262125916_1pre_C33_CAGGCG_R1_trimmed_bismark_bt2.bismark.cov.gz	262125916_1pre	T_079	25	262125916	2015	2	145	ASY	ASY first caught 2015	control	1pre	2	3	B_3	121	4.53	328	99.74			262125916_2015_145	23	28.2	114.2	3.14	46.59	40.86			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_262126026_1pre_D38_CTAGCT_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_262126026_1pre_D38_CTAGCT_R1_trimmed_bismark_bt2.bismark.cov.gz	262126026_1pre	T_093	26	262126026	2015	1	147	SY	SY in 2015	cort	1pre	2	3	B_1	372	2.55	144	99.28			262126026_2015_147	23.75	29	120	0.38	24.15	18.53			
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_010_B29_CAACTA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_010_B29_CAACTA_R1_trimmed_bismark_bt2.bismark.cov.gz	262126127_1pre	T_010	27	262126127	2015	3	140	ASY	ASY in 2014 when caught	cort	1pre	1	1	X_1	325	5.06	319	99.51			262126127_2015_140	21	28.5	119	10.93	46.48				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113701_1pre_A24_GGTAGC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113701_1pre_A24_GGTAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113701_1pre	T_091	28	263113701	2015	2	137	ASY	ASY in 2015	cort	1pre	2	3	B_3	253	2.38	100	100			263113701_2015_137	22.1	27.8	117	1.51	32.29	26.85			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113702_1pre_E44_TATAAT_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113702_1pre_E44_TATAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113702_1pre	T_044	29	263113702	2015	2	138	ASY	ASY in 2015	control	1pre	2	2	A_2	407	1.09	609	99.13			263113702_2015_138	20.25	26.9	115	0.38	8.07	20.71			
11923_11163_124350_HFG22BGXG_Taff_D_2_263113703_1pre_F46_TCCCGA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_263113703_1pre_F46_TCCCGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113703_1pre	T_046	30	263113703	2015	1	139	SY	SY in 2015	control	1pre	2	5	D_2	17	2.07	78	98.76			263113703_2015_139	22.75	28.8	120	2.3	38.21				
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113704_1pre_A28_CAAAAG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113704_1pre_A28_CAAAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113704_1pre	T_047	31	263113704	2015	1	139	SY	SY in 2015	cort	1pre	2	4	C_3	177	2.05	95	100			263113704_2015_139	22	27.2	118.5	1.7	21.38				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113705_1pre_A26_ATGAGC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113705_1pre_A26_ATGAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113705_1pre	T_011	32	263113705	2015	2	140	ASY	ASY in 2015	control	1pre	2	3	B_2	192	2.82	475	99.86			263113705_2015_140	25	29.1	121	0.38	25.61				
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_012_B30_CACCGG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_012_B30_CACCGG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113706_1pre	T_012	33	263113706	2015	1	140	SY	SY in 2015	cort	1pre	1	1	X_2	224	1.06	260	99.45			263113706_2015_140	23	28.5	117	5.87	25.9				
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_015_B31_CACGAT_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_015_B31_CACGAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113709_1pre	T_015	34	263113709	2015	2	140	ASY	ASY in 2015	cort	1pre	1	1	X_2	171	0.81	171	99.75			263113709_2015_140	20.5	28.5	117	3.98	32.94				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113710_1pre_A28_CAAAAG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113710_1pre_A28_CAAAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113710_1pre	T_051	35	263113710	2015	1	141	SY	SY in 2015	control	1pre	2	3	B_3	230	1.74	83	96.64			263113710_2015_141	20	28.5	111	1.58	93.38	51.71			
11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113712_1pre_F47_TCGAAG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113712_1pre_F47_TCGAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113712_1pre	T_053	36	263113712	2015	1	142	SY	SY in 2015	control	1pre	2	4	C_1	180	1.9	118	99.94			263113712_2015_142	20.8	27.9	117	1.76	39.15				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113713_1pre_C34_CATGGC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113713_1pre_C34_CATGGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113713_1pre	T_054	37	263113713	2015	2	142	ASY	ASY in 2015	control	1pre	2	2	A_2	403	1.82	262	99.89			263113713_2015_142	23	28.7	117	8.32	48.51				
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_021_B32_CACTCA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_021_B32_CACTCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113714_1pre	T_021	38	263113714	2015	1	142	SY	SY in 2015	control	1pre	1	1	X_4	513	1.22	266	99.52			263113714_2015_142	19	27.7	119	6.12	25.75				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113715_1pre_E41_GCGCTA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113715_1pre_E41_GCGCTA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113715_1pre	T_020	39	263113715	2015	2	142	ASY	ASY in 2015	control	1pre	2	2	A_2	295	1.16	299	98.91			263113715_2015_142	24	28	119	1.12	68.96				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113716_1pre_B31_CACGAT_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113716_1pre_B31_CACGAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113716_1pre	T_018	40	263113716	2015	1	142	SY	SY in 2015	cort	1pre	2	2	A_2	288	1.26	105	99.7			263113716_2015_142	21.5	27.2	117	7.06	41.1				
11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113717_1pre_B32_CACTCA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113717_1pre_B32_CACTCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113717_1pre	T_055	41	263113717	2015	1	142	SY	SY in 2015	control	1pre	2	4	C_2	88	1.92	50	99.92			263113717_2015_142	20.1	27.4	114.5	5.77	43.45				
