raw_file_name	bis_processed_file	code	sample_id	label	band	year	min_age	cap_doy	age_group	age_note	treatment	group	lib_prep_batch	seq_run	pool	meth_seqs	meth_conv	unmeth_seqs	unmeth_conv	notes			mass	bhead	fwing	b_cort	s_cort	d_cort			
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_066_D37_CGGAAT_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_066_D37_CGGAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	262126127_2post	T_066	27	262126127	2015	3	155	ASY	ASY in 2014 when caught	cort	2post	1	1	X_2	303	1.23	333	99.57			262126127_2015_155	18.9	28.5	117.5	50.38	45.45				
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113701_2post_C33_CAGGCG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113701_2post_C33_CAGGCG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113701_2post	RR_018	28	263113701	2015	2	148	ASY	ASY in 2015	cort	2post	2	4	C_3	85	2.71	352	99.93			263113701_2015_148	21.75	27.9	117	10.89	128.22	34.65			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113702_2post_B32_CACTCA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113702_2post_B32_CACTCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113702_2post	RR_019	29	263113702	2015	2	151	ASY	ASY in 2015	control	2post	2	2	A_2	350	2.07	278	99.88			263113702_2015_151	19	26.9	115	11.08	23.83				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113703_2post_F46_TCCCGA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113703_2post_F46_TCCCGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113703_2post	RR_020	30	263113703	2015	1	148	SY	SY in 2015	control	2post	2	3	B_1	346	1.92	192	99.85			263113703_2015_148	22.2	28.7	121	0.58	23.86	30.91			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113704_2post_D38_CTAGCT_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113704_2post_D38_CTAGCT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113704_2post	RR_021	31	263113704	2015	1	155	SY	SY in 2015	cort	2post	2	2	A_2	415	1.81	415	99.8			263113704_2015_155	18.3	28.25	118	23.84	49.91	57.83			
11923_11163_124350_HFG22BGXG_Taff_D_2_263113705_2post_C35_CATTTT_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_263113705_2post_C35_CATTTT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113705_2post	T_067	32	263113705	2015	2	155	ASY	ASY in 2015	control	2post	2	5	D_2	14	1.47	115	98.89	tube says 240150273 2.27f 6.5.15		263113705_2015_155	18.7	29	122.5	3.48	23.3				
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_068_D38_CTAGCT_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_068_D38_CTAGCT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113706_2post	T_068	33	263113706	2015	1	155	SY	SY in 2015	cort	2post	1	1	X_2	168	1.08	172	99.4			263113706_2015_155	19.75	28.2	119.5	6.3	363.88				
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_070_D39_CTATAC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_070_D39_CTATAC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113709_2post	T_070	34	263113709	2015	2	155	ASY	ASY in 2015	cort	2post	1	1	X_4	1333	1.39	1532	99.53			263113709_2015_155	18	27.2	116.5	15.78	352.01				
11923_11163_124350_HFG22BGXG_Taff_D_1_263113710_2post_E44_TATAAT_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_263113710_2post_E44_TATAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113710_2post	RR_023	35	263113710	2015	1	155	SY	SY in 2015	control	2post	2	5	D_1	7	0	121	99.89			263113710_2015_155	18.1	27.7	114	2.57	38.82				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113712_2post_B30_CACCGG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113712_2post_B30_CACCGG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113712_2post	RR_024	36	263113712	2015	1	155	SY	SY in 2015	control	2post	2	3	B_3	179	0.48	93	99.51			263113712_2015_155	19.4	28.5	115.5	0.38	15.42	28.06			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113713_2post_C33_CAGGCG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113713_2post_C33_CAGGCG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113713_2post	RR_025	37	263113713	2015	2	155	ASY	ASY in 2015	control	2post	2	2	A_3	435	1.21	226	99.91			263113713_2015_155	20.7	29	117	0.97	43.18	28.88			
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_072_D40_CTCAGA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_072_D40_CTCAGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113714_2post	T_072	38	263113714	2015	1	155	SY	SY in 2015	control	2post	1	1	X_1	413	1.38	325	99.5			263113714_2015_155	18.4	27.7	117.5	106.62	26.41				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113715_2post_B30_CACCGG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263113715_2post_B30_CACCGG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113715_2post	T_071	39	263113715	2015	2	155	ASY	ASY in 2015	control	2post	2	2	A_3	447	1.67	272	99.77	tube says 13713 2.111F base 6.4.15		263113715_2015_155	19.8	29.2	118.5	32.56	38.87				
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113716_2post_D40_CTCAGA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113716_2post_D40_CTCAGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113716_2post	T_078	40	263113716	2015	1	156	SY	SY in 2015	cort	2post	2	3	B_2	347	1.84	113	99.86			263113716_2015_156	19.8	27.7	118.5	28.75	53.58	31.52			
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113717_2post_C35_CATTTT_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113717_2post_C35_CATTTT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113717_2post	RR_026	41	263113717	2015	1	156	SY	SY in 2015	control	2post	2	4	C_3	91	2.01	112	99.65			263113717_2015_156	18.6	27.3	115.5	5.61	42.91				
11923_11163_124350_HFG22BGXG_Taff_D_3_263113718_2post_A28_CAAAAG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263113718_2post_A28_CAAAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113718_2post	T_077	42	263113718	2015	1	156	SY	SY in 2015	cort	2post	2	5	D_3	35	2.85	197	99.04			263113718_2015_156	19	28.2	114.5			197.45			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263113719_2post_E43_TACAGC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263113719_2post_E43_TACAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113719_2post	RR_027	43	263113719	2015	1	157	SY	SY in 2015	control	2post	2	2	A_1	123	5.97	54	99.76			263113719_2015_157	18	28.6	115	2.86	8.81	26.4			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113720_2post_C35_CATTTT_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_263113720_2post_C35_CATTTT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113720_2post	T_080	44	263113720	2015	1	157	SY	SY in 2015	control	2post	2	3	B_2	156	0.54	61	99.93			263113720_2015_157	20.5	28.3	120.5	1.41	20.26	6.88			
11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113721_2post_E44_TATAAT_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113721_2post_E44_TATAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113721_2post	RR_028	45	263113721	2015	2	156	ASY	ASY in 2015	cort	2post	2	4	C_2	117	1.84	193	99.74			263113721_2015_156	19.5	28.4	117.5	11.94	24.69	28.31			
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263113722_2post_F45_TCATTC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263113722_2post_F45_TCATTC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113722_2post	T_081	46	263113722	2015	1	157	SY	SY in 2015	cort	2post	2	2	A_1	102	1.03	39	99.17			263113722_2015_157	18.5	28.2	115.5	23.69	62.63				
11923_11163_124350_HFG22BGXG_Taff_D_3_263113723_2post_B32_CACTCA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263113723_2post_B32_CACTCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113723_2post	RR_029	47	263113723	2015	1	161	SY	SY in 2015	cort	2post	2	5	D_3	18	1.67	113	99.75			263113723_2015_161	20.25	27.7	114	32.47	41.96	50.03			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113730_2post_A17_GTAGAG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113730_2post_A17_GTAGAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113730_2post	RR_030	48	263113730	2015	1	161	SY	SY in 2015	cort	2post	2	3	B_1	288	1.61	161	99.61			263113730_2015_161	20.9	28.9	118	15.91	31.7	35.16			
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113734_2post_B29_CAACTA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113734_2post_B29_CAACTA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113734_2post	T_086	49	263113734	2015	1	171	SY	SY in 2015	cort	2post	2	4	C_3	141	1.52	155	99.66			263113734_2015_171	19	27.2	114	67.35	25.73				
11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113799_2post_E41_GCGCTA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_1_263113799_2post_E41_GCGCTA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113799_2post	RR_031	50	263113799	2015	2	155	ASY	ASY in 2015 when first caught	cort	2post	2	4	C_1	92	1.94	80	99.78			263113799_2015_155	18.5	28.2	115	54.34	78.1				
11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113901_2post_A26_ATGAGC_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_263113901_2post_A26_ATGAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113901_2post	RR_032	51	263113901	2015	2	147	ASY	ASY in 2015 when first caught	cort	2post	2	4	C_2	68	1.36	82	99.53			263113901_2015_147	22.75	29.8	117	63.81	35.72	65.64			
11923_11163_124350_HFG22BGXG_Taff_D_1_263113903_2post_C34_CATGGC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_263113903_2post_C34_CATGGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113903_2post	T_090	52	263113903	2015	1	176	SY	SY in 2015	cort	2post	2	5	D_1	7	0	51	99.66			263113903_2015_176	20.3	27.9	113	5.27	24.7				
11923_11163_124350_HFG22BGXG_Taff_D_3_263113988_2post_D38_CTAGCT_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_3_263113988_2post_D38_CTAGCT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113988_2post	RR_033	53	263113988	2015	1	176	SY	SY in 2015	cort	2post	2	5	D_3	10	0.83	705	99.89			263113988_2015_176	17	27.8	114	32.42	43.07				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263114306_2post_E42_TAATCG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263114306_2post_E42_TAATCG_R1_trimmed_bismark_bt2.bismark.cov.gz	263114306_2post	RR_034	55	263114306	2015	1	178	SY	SY in 2015	control	2post	2	2	A_1	74	1.18	146	99.8			263114306_2015_178	19.5	26.7	113	3.51	28.97				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263114321_2post_F48_TCGGCA_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263114321_2post_F48_TCGGCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263114321_2post	RR_035	56	263114321	2015	1	182	SY	SY in 2015	cort	2post	2	2	A_3	222	1.88	405	99.77			263114321_2015_182	20.5	27.8	121	8.27	43.19				
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263114339_2post_A26_ATGAGC_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_263114339_2post_A26_ATGAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263114339_2post	RR_036	57	263114339	2015	1	190	SY	SY in 2015	cort	2post	2	2	A_3	382	2.35	7795	99.88			263114339_2015_190	19.25	27.2	115	56.27	34.99				
11923_11163_124350_HFG22BGXG_Taff_D_1_156181156_3cross_C36_CCAACA_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_156181156_3cross_C36_CCAACA_R1_trimmed_bismark_bt2.bismark.cov.gz	156181156_3cross	T_118	2	156181156	2016	1	151	SY	SY in 2016	control	3cross	2	5	D_1	10	0.54	58	99.42			156181156_2016_151	21	28.7	113	1.44	51.79	9.78	1.44	51.79	9.78
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_185146896_3cross_B31_CACGAT_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_185146896_3cross_B31_CACGAT_R1_trimmed_bismark_bt2.bismark.cov.gz	185146896_3cross	T_150	3	185146896	2016	1	146	SY	SY in 2016	cort	3cross	2	3	B_3	302	1.69	91	99.47			185146896_2016_146	22	28	114.5	2.49	30.65	11.96	2.49	30.65	11.96
11923_11163_124350_HFG22BGXG_Taff_D_2_222154848_3cross_B31_CACGAT_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_222154848_3cross_B31_CACGAT_R1_trimmed_bismark_bt2.bismark.cov.gz	222154848_3cross	T_037	6	222154848	2016	8	144	ASY	SY when caught in 2009	cort	3cross	2	5	D_2	33	0.15	53	99.65			222154848_2016_144	23	28.7	125	6.73	35.87	11.04	6.73	35.87	11.04
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_239159871_3cross_D37_CGGAAT_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_239159871_3cross_D37_CGGAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	239159871_3cross	T_117	7	239159871	2016	1	149	SY	SY in 2016	cort	3cross	2	3	B_2	282	1.69	209	99.16			239159871_2016_149	22	28.3	112	1.36	28.74	10.31	1.36	28.74	10.31
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_007_E41_GCGCTA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_007_E41_GCGCTA_R1_trimmed_bismark_bt2.bismark.cov.gz	240150270_3cross	T_007	10	240150270	2016	4	143	ASY	ASY when first caught in 2014	control	3cross	1	1	X_1	222	1.11	222	99.34			240150270_2016_143	23.5	29.6	117.5	5.12	23.33	9.6	5.12	23.33	9.6
11922_11163_124347_H7HJ7BGXG_Taff_C_3_240150273_3cross_A17_GTAGAG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_240150273_3cross_A17_GTAGAG_R1_trimmed_bismark_bt2.bismark.cov.gz	240150273_3cross	T_017	11	240150273	2015	3	142	ASY	ASY when first caught in 2014	cort	3cross	2	4	C_3	454	1.83	304	99.3			240150273_2015_142	22.5	27.9	117	15.94	33.77				
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_038_E42_TAATCG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_038_E42_TAATCG_R1_trimmed_bismark_bt2.bismark.cov.gz	240150278_3cross	T_038	12	240150278	2016	4	146	ASY	ASY when first caught in 2014	control	3cross	1	1	X_1	185	0.99	176	98.84			240150278_2016_146	22.5	28.9	115	1.74	28.85	11.9	1.743589744	28.84615385	11.8974359
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_240150566_3cross_A28_CAAAAG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_240150566_3cross_A28_CAAAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	240150566_3cross	T_050	17	240150566	2015	4	137	ASY	SY in 2012	cort	3cross	2	2	A_3	614	1.03	482	99.62			240150566_2015_137	18.9	27.8	117	1.98	28.97	17.2			
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_240151526_3cross_F48_TCGGCA_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_2_240151526_3cross_F48_TCGGCA_R1_trimmed_bismark_bt2.bismark.cov.gz	240151526_3cross	T_014	18	240151526	2015	3	140	ASY	SY in 2013	cort	3cross	2	3	B_2	357	4.61	516	99.72			240151526_2015_140	23	29.2	117	11.78	7.98	9.39			
11923_11163_124350_HFG22BGXG_Taff_D_1_240151693_3cross_C33_CAGGCG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_240151693_3cross_C33_CAGGCG_R1_trimmed_bismark_bt2.bismark.cov.gz	240151693_3cross	RR_001	19	240151693	2014	3	168	ASY	recorded as 'AHY' in 2013 at first capture	control	3cross	2	5	D_1	4	0	170	98.21			240151693_2014_168	20	27.7	114.5	4.94	22.68				
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_005_E43_TACAGC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_005_E43_TACAGC_R1_trimmed_bismark_bt2.bismark.cov.gz	259122567_3cross	T_005	20	259122567	2016	2	141	ASY	SY in 2015	cort	3cross	1	1	X_1	222	2.22	217	99.49	re-extracted on 2/25		259122567_2016_141	20	28.8	119	1.46	67.81	19.49	1.461538462	67.80769231	19.48717949
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_004_E44_TATAAT_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_004_E44_TATAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	262125706_3cross	T_004	22	262125706	2016	2	140	ASY	SY in 2015	cort	3cross	1	1	X_3	342	1.84	346	99.61			262125706_2016_140	18.5	27.6	120	5.91	42.3	10.23	5.91025641	42.29487179	10.23076923
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262125801_3cross_F47_TCGAAG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_262125801_3cross_F47_TCGAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	262125801_3cross	T_013	23	262125801	2015	2	140	ASY	SY in 2014	cort	3cross	2	2	A_1	98	1.17	62	99.18			262125801_2015_140	20.25	28.7	115	1.79	42.44				
11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_040_F45_TCATTC_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_3_T_040_F45_TCATTC_R1_trimmed_bismark_bt2.bismark.cov.gz	262126127_3cross	T_040	27	262126127	2016	4	157	ASY	ASY in 2014 when caught	cort	3cross	1	1	X_3	254	0.95	239	99.74			262126127_2016_157	21.6	28.2	119	1.67	29.56	14.41	1.67	29.56	14.41
11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_031_F46_TCCCGA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_2_T_031_F46_TCCCGA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113706_3cross	T_031	33	263113706	2016	2	141	ASY	SY in 2015	cort	3cross	1	1	X_2	162	1.63	140	99.44			263113706_2016_141	22.5	28.1	121	6.55	40.77	12.23	6.55	40.77	12.23
11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_029_F47_TCGAAG_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_1_T_029_F47_TCGAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113709_3cross	T_029	34	263113709	2016	3	139	ASY	ASY in 2015	cort	3cross	1	1	X_1	170	1.27	141	99.43			263113709_2016_139	19.5	27.9	116	3.63	102.23	9.51	3.63	102.23	9.51
11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_032_F48_TCGGCA_R1_trimmed.fq.gz	11667_11163_118597_HHM5FBGXF_Taff_Pool_4_T_032_F48_TCGGCA_R1_trimmed_bismark_bt2.bismark.cov.gz	263113714_3cross	T_032	38	263113714	2016	2	141	ASY	SY in 2015	control	3cross	1	1	X_4	23	2.5	17	98.11			263113714_2016_141	18.5	28.1	115	1.09	27.76	17.6	1.09	27.76	17.6
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113715_3cross_C34_CATGGC_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113715_3cross_C34_CATGGC_R1_trimmed_bismark_bt2.bismark.cov.gz	263113715_3cross	T_006	39	263113715	2016	3	142	ASY	ASY in 2015	control	3cross	2	3	B_1	381	1.52	147	99.75			263113715_2016_142	23	28.2	117	3.55	41.71	13.36	3.55	41.71	13.36
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113716_3cross_F47_TCGAAG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_1_263113716_3cross_F47_TCGAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113716_3cross	T_002	40	263113716	2016	2	143	ASY	SY in 2015	cort	3cross	2	3	B_1	366	0.94	135	99.96			263113716_2016_143	22.5	28.7	118	1.71	40.22	10.45	1.71	40.22	10.45
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113718_3cross_C35_CATTTT_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_2_263113718_3cross_C35_CATTTT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113718_3cross	T_033	42	263113718	2016	2	142	ASY	SY in 2015	cort	3cross	2	2	A_2	226	1.65	99	99.72			263113718_2016_142	20.25	28.1	113	4.15	51.41	13.29	4.15	51.41	13.29
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113722_3cross_E44_TATAAT_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113722_3cross_E44_TATAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263113722_3cross	T_035	46	263113722	2016	2	143	ASY	SY in 2015	cort	3cross	2	3	B_3	233	1.85	58	99.91			263113722_2016_143	20.5	27.5	118.5	3.51	18.92	19.09	3.51	18.92	19.09
11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113734_3cross_E42_TAATCG_R1_trimmed.fq.gz	11921_11163_124344_HJVMWBGXG_PoolB_Taff_B_3_263113734_3cross_E42_TAATCG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113734_3cross	T_030	49	263113734	2016	2	141	ASY	SY in 2015	cort	3cross	2	3	B_3	125	2.35	95	99.3			263113734_2016_141	19.5	27.9	114	6.78	18.88	18.83	6.78	18.88	18.83
11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113799_3cross_B30_CACCGG_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_3_263113799_3cross_B30_CACCGG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113799_3cross	T_142	50	263113799	2016	3	142	ASY	ASY in 2015 when first caught	cort	3cross	2	4	C_3	82	2.44	82	100			263113799_2016_142	20.5	28.8	119	3.73	68.37	26.03	3.73	68.37	26.03
11923_11163_124350_HFG22BGXG_Taff_D_2_263113903_3cross_F47_TCGAAG_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_263113903_3cross_F47_TCGAAG_R1_trimmed_bismark_bt2.bismark.cov.gz	263113903_3cross	T_036	52	263113903	2016	2	144	ASY	SY in 2015	cort	3cross	2	5	D_2	15	0.33	296	99.45			263113903_2016_144	21.25	28.4	125	1.41	20.67	12.22	1.41	20.67	12.22
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263114002_3cross_D37_CGGAAT_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_1_263114002_3cross_D37_CGGAAT_R1_trimmed_bismark_bt2.bismark.cov.gz	263114002_3cross	T_001	54	263114002	2016	3	138	ASY	ASY in 2015 when first caught	cort	3cross	2	2	A_1	77	1.35	36	99.22			263114002_2016_138	21.25	28.8	120	2.68	110.69	24	2.68	110.69	24
11922_11163_124347_H7HJ7BGXG_Taff_C_2_272107403_3cross_F48_TCGGCA_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_272107403_3cross_F48_TCGGCA_R1_trimmed_bismark_bt2.bismark.cov.gz	272107403_3cross	T_112	59	272107403	2016	1	149	SY	SY in 2016	control	3cross	2	4	C_2	105	1.33	110	99.83			272107403_2016_149	21.5	28.2	114	2.62	12.76	8.37	2.62	12.76	8.37
11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_272107599_3cross_A17_GTAGAG_R1_trimmed.fq.gz	11920_11163_124341_HLNHWBGXG_PoolA_Taff_A_3_272107599_3cross_A17_GTAGAG_R1_trimmed_bismark_bt2.bismark.cov.gz	272107599_3cross	T_120	60	272107599	2016	1	164	SY	SY in 2016	control	3cross	2	2	A_3	535	2.01	254	99.94	tube says 4.102f 5.30.17 (wrong year?)		272107599_2016_164	20	28.4	116	3.88	82.15	14.06	3.88	82.15	14.06
11922_11163_124347_H7HJ7BGXG_Taff_C_2_T_156_D37_CGGAAT_R1_trimmed.fq.gz	11922_11163_124347_H7HJ7BGXG_Taff_C_2_T_156_D37_CGGAAT_R1_trimmed_bismark_bt2.bismark.cov.gz		T_156	58	272107210	2016	1	145	SY	SY in 2016			2	4	C_2	151	0.79	360	99.65			272107210_2016_145	21	27.8	112	2.73	44.21	10.99	2.73	44.21	10.99
11923_11163_124350_HFG22BGXG_Taff_D_1_T_155_A26_ATGAGC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_1_T_155_A26_ATGAGC_R1_trimmed_bismark_bt2.bismark.cov.gz		T_155	1	156181125	2016	2	144	ASY	ASY in 2016 when caught			2	5	D_1	19	4.17	321	99.46			156181125_2016_144	22.75	28.7	120.5	5.87	27.08	7.06	5.87	27.08	7.06
11923_11163_124350_HFG22BGXG_Taff_D_2_T_154_E43_TACAGC_R1_trimmed.fq.gz	11923_11163_124350_HFG22BGXG_Taff_D_2_T_154_E43_TACAGC_R1_trimmed_bismark_bt2.bismark.cov.gz		T_154	61	272107602	2016	1	154	SY	SY in 2016 when caught			2	5	D_2	10	0	343	99.76			272107602_2016_154	20.5	28.2	116	4.51	15.45	6.95	4.51	15.45	6.95
